"Pinto
(11)",Mustang (10),,"Bronco
(8)","Shetland
(14)","Pony
(2)",Release,,,,"Insufficient
Fields",,Not Used & Not Released
,,,,,,,,,,,,
Date,Day,Setup - Ready Time,Start - End Time,Facility/Equipment/Instructor,Permit#,Division,Count,Slots,Sum,Needs,,Release
"Mar 14, 2023",Tue,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 03,R108572,Mustang,,1,,,,
"Mar 14, 2024",Thu,,05:00 PM - 07:00 PM,Lincoln Park 2,,Mustang,,1,,,,
"Mar 14, 2023",Tue,,07:00 PM - 08:45 PM,Sealth HS Complex Utility Field Lower,R108572,Mustang,,1,10,10,,
"Mar 14, 2023",Tue,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,,Pony,,2,2,2,,
"Mar 15, 2023",Wed,,05:00 PM - 07:15 PM,Pee Wees,,Pinto,,6,,,6 teams need to split 4 fields,
"Mar 15, 2023",Wed,,07:00 PM - 09:00 PM,Sealth Upper,,Pinto,,2,,,,
"Mar 15, 2023",Wed,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 02,R108572,Pinto,,2,,,2 teams need to split a field,
"Mar 15, 2023",Wed,,05:00 PM - 07:15 PM,Lincoln Park Ballfield 01,R108577,Pinto,,1,11,11,,
"Mar 15, 2023",Wed,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 02 (NE),R108572,Bronco,,2,,,,
"Mar 15, 2023",Wed,,05:00 PM - 07:00 PM,Lincoln Park Ballfield 03,R108572,Bronco,,1,,,,
"Mar 15, 2023",Wed,,05:00 PM - 07:15 PM,Lincoln Park Ballfield 02,R108572,Bronco,,1,,,,
"Mar 15, 2023",Wed,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 01,R108572,Bronco,,1,,,,
"Mar 15, 2023",Wed,,07:00 PM - 08:45 PM,Sealth HS Complex Utility Field Lower,R108572,Bronco,,1,,,,
"Mar 15, 2023",Wed,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,Bronco,,2,8,8,,
"Mar 16, 2023",Thu,,05:00 PM - 07:15 PM,Pee Wees,,Mustang,,4,,,,
"Mar 16, 2023",Thu,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 01,R108572,Mustang,,2,,,,
"Mar 16, 2023",Thu,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 02,R108572,Mustang,,2,,,,
"Mar 16, 2024",Sat,,05:00 PM - 07:00 PM,Lincoln Park 1,,Mustang,,1,,,,
"Mar 16, 2024",Sat,,05:00 PM - 07:15 PM,Lincoln Park 2,,Mustang,,1,10,10,,
"Mar 16, 2023",Thu,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 01 (SW),R108581,Pony,,2,2,2,,
"Mar 17, 2023",Fri,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 04,R108572,Bronco,,1,,,,
"Mar 17, 2023",Fri,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 02,R108572,Bronco,,1,,,,
"Mar 17, 2023",Fri,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 03,R108572,Bronco,,1,,,,
"Mar 17, 2023",Fri,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 01,R108572,Bronco,,1,,,,
"Mar 17, 2023",Fri,,05:00 PM - 07:15 PM,Lincoln Park Ballfield 01,R108577,Bronco,,1,,,,
"Mar 17, 2023",Fri,,05:00 PM - 07:15 PM,Lincoln Park Ballfield 02,R108572,Bronco,,1,,,,
"Mar 17, 2023",Fri,,05:30 PM - 07:15 PM,Walt Hundley Playfield Ballfield 01,R108581,Bronco,,1,,,,
"Mar 17, 2023",Fri,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 01 (SW),R108581,Bronco,,1,8,8,,
"Mar 17, 2023",Fri,,07:00 PM - 08:45 PM,Sealth HS Complex Utility Field Lower,R108572,,,,,,,X
"Mar 17, 2023",Fri,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,,,,,,,X
"Mar 18, 2023",Sat,,09:00 AM - 03:00 PM,Pee Wees,,Pinto,,12,12,11,,
"Mar 18, 2023",Sat,,03:00 PM - 06:00 PM,Pee Wees,,Mustang,,8,,,,
"Mar 18, 2023",Sat,,09:00 AM - 11:00 AM,Riverview Playfield Ballfield 01,R108572,Mustang,,1,,,,
"Mar 18, 2023",Sat,,09:00 AM - 11:00 AM,Riverview Playfield Ballfield 02,R108572,Mustang,,1,,,,
"Mar 18, 2023",Sat,,09:00 AM - 11:00 AM,Riverview Playfield Ballfield 03,,Mustang,,1,,,,
"Mar 18, 2023",Sat,,09:00 AM - 11:00 AM,Riverview Playfield Ballfield 04,,Mustang,,1,,,,
"Mar 18, 2023",Sat,,11:00 AM - 01:00 PM,Riverview Playfield Ballfield 01,R108572,Mustang,,1,,,,
