"Pinto
(11)",Mustang (10),,"Bronco
(8)","Shetland
(14)","Pony
(2)",Release,,,,"Insufficient
Fields",,Not Used & Not Released
,,,,,,,,,,,,
Date,Day,Setup - Ready Time,Start - End Time,Facility/Equipment/Instructor,Permit#,Division,Count,Slots,Sum,Needs,,Release
"Apr 3, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"Apr 3, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"Apr 3, 2023",Mon,,05:30 PM - 07:45 PM,Walt Hundley Playfield Ballfield 01,R108574,,,,,,,
"Apr 3, 2023",Mon,,05:45 PM - 06:30 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"Apr 3, 2023",Mon,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 4, 2023",Tue,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 01,R108581,,,,,,,
"Apr 4, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 4, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"Apr 4, 2023",Tue,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 4, 2023",Tue,,06:00 PM - 07:45 PM,Walt Hundley Playfield Ballfield 01,R108574,,,,,,,
"Apr 4, 2023",Tue,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 5, 2023",Wed,,05:00 PM - 06:30 PM,Walt Hundley Playfield Ballfield 01,R108574,,,,,,,
"Apr 5, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 5, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"Apr 5, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"Apr 5, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"Apr 5, 2023",Wed,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 5, 2023",Wed,,05:45 PM - 08:15 PM,Delridge Playfield Ballfield 02 (NE),R108571,,,,,,,
"Apr 5, 2023",Wed,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 6, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 6, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"Apr 6, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"Apr 6, 2023",Thu,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"Apr 6, 2023",Thu,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"Apr 7, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"Apr 7, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"Apr 7, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,,,,,,,
"Apr 7, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 7, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"Apr 7, 2023",Fri,,05:30 PM - 07:45 PM,Walt Hundley Playfield Ballfield 01,R108574,,,,,,,
"Apr 7, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"Apr 7, 2023",Fri,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"Apr 7, 2023",Fri,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 8, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"Apr 8, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"Apr 8, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 01,R108571,,,,,,,
"Apr 8, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"Apr 8, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
"Apr 8, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"Apr 8, 2023",Sat,,09:00 AM - 06:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 8, 2023",Sat,,12:00 PM - 02:00 PM,Sealth HS Complex Utility Field Lower,R108574,,,,,,,
"Apr 8, 2023",Sat,,05:30 PM - 07:45 PM,Sealth HS Complex Utility Field Lower,R108574,,,,,,,
"Apr 8, 2023",Sat,,05:30 PM - 07:45 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 9, 2023",Sun,,09:00 AM - 12:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"Apr 10, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"Apr 10, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 10, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"Apr 10, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"Apr 10, 2023",Mon,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 10, 2023",Mon,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 11, 2023",Tue,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 01,R108581,,,,,,,
"Apr 11, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 11, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"Apr 11, 2023",Tue,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"Apr 11, 2023",Tue,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 12, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 12, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"Apr 12, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"Apr 12, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"Apr 12, 2023",Wed,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"Apr 12, 2023",Wed,,05:45 PM - 08:15 PM,Delridge Playfield Ballfield 02 (NE),R108571,,,,,,,
"Apr 12, 2023",Wed,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 13, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 13, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"Apr 13, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,,,,,,,
"Apr 13, 2023",Thu,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"Apr 13, 2023",Thu,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 14, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"Apr 14, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108571,,,,,,,
"Apr 14, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 14, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"Apr 14, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"Apr 14, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"Apr 14, 2023",Fri,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 14, 2023",Fri,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 15, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"Apr 15, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"Apr 15, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"Apr 15, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
"Apr 15, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"Apr 15, 2023",Sat,,09:00 AM - 06:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 15, 2023",Sat,,12:00 PM - 08:00 PM,Sealth HS Complex Utility Field Lower,R108574,,,,,,,
"Apr 15, 2023",Sat,,12:30 PM - 08:00 PM,Sealth HS Complex Softball Upper,R108574,,,,,,,
"Apr 16, 2023",Sun,,09:00 AM - 12:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"Apr 17, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"Apr 17, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"Apr 17, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 17, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"Apr 17, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"Apr 17, 2023",Mon,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 17, 2023",Mon,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 18, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 18, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"Apr 18, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,,,,,,,
"Apr 18, 2023",Tue,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108579,,,,,,,
"Apr 18, 2023",Tue,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 19, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"Apr 19, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
"Apr 19, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"Apr 19, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 19, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"Apr 19, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"Apr 19, 2023",Wed,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 19, 2023",Wed,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 20, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 20, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"Apr 20, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,,,,,,,
"Apr 20, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"Apr 20, 2023",Thu,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"Apr 20, 2023",Thu,,05:30 PM - 08:00 PM,Walt Hundley Playfield Ballfield 01,R108581,,,,,,,
"Apr 21, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,,,,,,,
"Apr 21, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"Apr 21, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 21, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"Apr 21, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"Apr 21, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"Apr 21, 2023",Fri,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 21, 2023",Fri,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,
"Apr 22, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"Apr 22, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"Apr 22, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 01,R108571,,,,,,,
"Apr 22, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"Apr 22, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"Apr 22, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 04,R108576,,,,,,,
"Apr 22, 2023",Sat,,09:00 AM - 06:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 22, 2023",Sat,,04:00 PM - 09:00 PM,Sealth HS Complex Utility Field Lower,R108574,,,,,,,
"Apr 23, 2023",Sun,,10:00 AM - 04:00 PM,Lincoln Park Ballfield 01,R108571,,,,,,,
"Apr 24, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108576,,,,,,,
"Apr 24, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"Apr 24, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"Apr 24, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 24, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"Apr 24, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"Apr 24, 2023",Mon,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"Apr 25, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"Apr 25, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 25, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"Apr 25, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,,,,,,,
"Apr 25, 2023",Tue,,05:30 PM - 08:00 PM,Walt Hundley Playfield Ballfield 01,R108581,,,,,,,
"Apr 25, 2023",Tue,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108579,,,,,,,
"Apr 26, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
"Apr 26, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"Apr 26, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108577,,,,,,,
"Apr 26, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 26, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"Apr 26, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"Apr 26, 2023",Wed,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 27, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"Apr 27, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"Apr 27, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,,,,,,,
"Apr 27, 2023",Thu,,05:30 PM - 08:00 PM,Walt Hundley Playfield Ballfield 01,R108579,,,,,,,
"Apr 27, 2023",Thu,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"Apr 27, 2023",Thu,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 28, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"Apr 28, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,,,,,,,
"Apr 28, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"Apr 28, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"Apr 28, 2023",Fri,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"Apr 28, 2023",Fri,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"Apr 29, 2023",Sat,,09:00 AM - 06:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"Apr 29, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"Apr 29, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 04,R108576,,,,,,,
"Apr 29, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"Apr 29, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"Apr 29, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"Apr 30, 2023",Sun,,12:00 PM - 04:00 PM,Lincoln Park Ballfield 01,R108579,,,,,,,
"May 1, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"May 1, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"May 1, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
"May 1, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"May 1, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"May 1, 2023",Mon,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"May 1, 2023",Mon,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"May 2, 2023",Tue,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 01,R108581,,,,,,,
"May 2, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"May 2, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,,,,,,,
"May 2, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"May 2, 2023",Tue,,05:30 PM - 08:00 PM,Walt Hundley Playfield Ballfield 01,R108581,,,,,,,
"May 2, 2023",Tue,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"May 3, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"May 3, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"May 3, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
"May 3, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"May 3, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"May 3, 2023",Wed,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"May 3, 2023",Wed,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"May 4, 2023",Thu,,05:15 PM - 07:45 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"May 4, 2023",Thu,,05:30 PM - 08:00 PM,Walt Hundley Playfield Ballfield 01,R108576,,,,,,,
"May 4, 2023",Thu,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"May 5, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"May 5, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,,,,,,,
"May 5, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"May 5, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"May 5, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"May 5, 2023",Fri,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"May 5, 2023",Fri,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"May 6, 2023",Sat,,09:00 AM - 06:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"May 6, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 04,R108576,,,,,,,
"May 6, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"May 6, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 02,R108571,,,,,,,
"May 6, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"May 6, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"May 7, 2023",Sun,,10:00 AM - 03:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"May 7, 2023",Sun,,10:00 AM - 03:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"May 8, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"May 8, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"May 8, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
"May 8, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"May 8, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"May 8, 2023",Mon,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"May 8, 2023",Mon,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"May 9, 2023",Tue,,05:30 PM - 08:00 PM,Walt Hundley Playfield Ballfield 01,R108579,,,,,,,
"May 9, 2023",Tue,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108579,,,,,,,
"May 10, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"May 10, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"May 10, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108576,,,,,,,
"May 10, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"May 10, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"May 10, 2023",Wed,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"May 10, 2023",Wed,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"May 11, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"May 11, 2023",Thu,,05:30 PM - 08:00 PM,Walt Hundley Playfield Ballfield 01,R108581,,,,,,,
"May 11, 2023",Thu,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"May 12, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"May 12, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108576,,,,,,,
"May 12, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"May 12, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"May 12, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"May 12, 2023",Fri,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108576,,,,,,,
"May 13, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"May 13, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 02,R108571,,,,,,,
"May 13, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 04,R108576,,,,,,,
"May 13, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"May 13, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"May 13, 2023",Sat,,09:00 AM - 06:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"May 14, 2023",Sun,,12:00 PM - 04:00 PM,Lincoln Park Ballfield 01,R108579,,,,,,,
"May 15, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"May 15, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"May 15, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
