Date,Start Time,End Time,Arrival Time,Short Label,Event Type,Division,Home Team,Away Team,Location,Location Details
3/14/2023,7:00 PM,8:30 PM,15,Practice,Practice,Pony 14U,West Seattle Pony,,Sealth Softball Lower,
3/16/2023,5:45 PM,7:15 PM,15,Practice,Practice,Pony 14U,West Seattle Pony,,Delridge SW Corner,
3/21/2023,7:00 PM,8:30 PM,15,Practice,Practice,Pony 14U,West Seattle Pony,,Sealth Softball Lower,
3/23/2023,5:30 PM,7:00 PM,15,Practice,Practice,Pony 14U,West Seattle Pony,,Lincoln Park Field #1,
3/28/2023,6:45 PM,7:45 PM,15,Practice,Practice,Pony 14U,West Seattle Pony,,Delridge SW Corner,
3/30/2023,6:45 PM,7:45 PM,15,Practice,Practice,Pony 14U,West Seattle Pony,,Delridge SW Corner,
